sentence,predicao,probabilidade,target
"Phoebe, change your face",0,0.40887062127450324,1
This lady is a terrible manager. Not because she's a lady though But because she's a stupid bitch,1,0.8079027766938154,1
I'm going to gouge my eyes out if this bitch doesn't get off,1,0.7304742743322266,1
"We all need sister, daughter, mother, wife. Thank you to those who complete us.",0,0.4927053431790594,0
"The speed of modern life is an oppressive thing, and the corporate world is quick to punish those with an honest heart.",0,0.43737547174485825,0
"She may be a bitch but let's be honest, the blondes weren't too far behind",1,0.7970106953458531,1
There are zero females I know who aren't stupid in some way or another. They just don't listen.,1,0.8501220214606299,1
"He who moves not forward, goes backward.",1,0.5572327044025158,0
"Thanks to women everywhere for all you do to help create a wiser, stronger, kinder and happier atmosphere",0,0.26490188328877895,0
I couldn't agree more Robert! I have never found a female comedian funny.,1,0.8782936802543116,1
i hate to hear girls argue about sports,1,0.9265394477276668,1
Your work is basic,0,0.17271271963898105,0
"If you want this job, think like a man",1,0.6777086636247222,1
Work means independence. It allowed me to shape my life on so many levels.,0,0.2943875419043947,0
Feminism is a respectable ideal. Searching for problems is not.,0,0.4173423807291344,0
i can say with certainty i haven't had an intelligent conversation with a female under thirty,1,0.8707910593925822,1
"Do you get it, you Blondes",1,0.8073640279427908,1
Never ever take directions from a woman!,1,0.718868698683933,1
Nora has an amazing future after working here. I think a role as wicked step mother. She just needs to age a bit.,0,0.2611042037713072,1
It isn't sexist if you're right.,1,0.7916011185962306,1
Opportunities are like night owls. They like to streak naked and howl at the moon. A lot of success in life comes down to luck. So put yourself in a position to get lucky. Because you know what happens if you don't go out? Nothing.,0,0.3229869009365699,0
Why are all women so bossy?,1,0.7164249245755296,1
there are some things girls just shouldn't do,1,0.6562107927325105,1
Must suck not being able to reach your own potential in life. Must be because you're a woman,1,0.6025408627482508,1
Hate these blonde bitches already,1,0.7960584372150887,1
Sexual assault is too broad a term,1,0.5572327044025158,1
"When you can't make it, just fake it",1,0.5499144779119274,0
She has great ideas but the statistics show a different story.,0,0.2506962110814419,0
"I was cranked to a fifth gear, and everything I did, I did on a deadline.",1,0.544584130618803,0
A woman wants her man to treat her like a princess to the world and fuck her like a whore.,1,0.5906309601051655,1
Work while you have strength.,0,0.18581631411338428,0
I don't like women commentators on men sports,1,0.8861942927021453,1
good luck to you with that.,0,0.2955446948694498,0
Those women are not exploited. They make a calculated choice to use sex to advance careers.,0,0.49904448054780703,1
"You seem like a nice girl, but I just ask that you dig a little deeper into what the document actually says",1,0.7690522111821925,1
Even the ordinary business of cleaning house seemed somehow to have become sacramental.,0,0.427784728263058,0
"I have no idea how to be an artist and a lover, so I chose the one most likely to make me happy when I'm eighty and gazing back on a long and productive life.",0,0.12178756606652923,0
I don't like movies with women with the main role.,1,0.7875988092527607,1
Perseverance is the hard work you do after you get tired of doing the hard work you already did.,0,0.2322018001512323,0
"In order to achieve positive results, she must work for them, not hope for them.",0,0.25518422896471804,0
This job is for a lady not a gentleman,1,0.6537241049115639,1
There is literally photo evidence above,1,0.5572327044025158,0
I'll take any screen grabs you have. Thanks.,0,0.46840868402983005,0
Feminists make me sick in how they go about fighting for equality. Sorry.,1,0.6654671053453178,1
I just really hope I don't have a daughter,1,0.6859152110762928,1
"I don't intend on my wife being a ""working"" woman, call me sexist.",1,0.6945625811842507,1
"The true definition of a goddess is a good housewife and mother who also has good health, looks and physique",1,0.5676046091829027,1
"If you find it difficult to get along with your boss, try to reason with him and talk through your differences. If that doesn't work, drive him to suicide and take over the company.",1,0.6352916475586289,0
You're still not married?,0,0.4884360735722851,1
People buy into the leader before they buy into the vision,0,0.23615164211487494,0
Guys are better than women in everything. It's not sexist but it's just because we are competitive as hell,1,0.8297576969548398,1
Well I'd bet on the latter.,0,0.40303273949219903,0
I see your point. It irks you to see anyone at all who is able to work permitted to live without working. But why do you consider work a virtue?,0,0.23060709220764053,0
she is blond what do you want,1,0.508310520820003,1
"My parents have a strong work ethic, but their attitude to life, their philosophy, is: 'whatever makes you happy.'",0,0.08896041766163708,0
There is a double standards there's certain rules for dudes and there's certain rules for females,1,0.7948298670060152,1
I've given you my time. Its all I've got to give - its all any man has. And for a pitiful buck and a quarter an hour.,0,0.2967777496416545,0
the majority of bad drivers are women right?,1,0.8344065194026142,1
Celina is an elephant and her people have finally come,0,0.42119688820435075,1
"Which is, I'm an optimist that two people can be together to work out their conflicts. And that commitment, I think, might be what love is, because they both grow from their relationship.",0,0.2954433107631862,0
You're especially testy today. Are you on your period?,1,0.6017568745543681,1
Typical woman sticking her nose where she shouldn't,1,0.7971097015606534,1
I cannot stop looking at Nikki's dreadful black crooked bra,1,0.6877738395946787,1
"Our culture needs to find a robust image of female success that is first, not male, and second, not a white woman on the phone, holding a crying baby,",1,0.5692821206907799,0
A woman's feelings can and do change at moment without notice,0,0.289138889273396,1
It is a men thing.,1,0.68308139989976,1
Just saw her work from a few days ago. It's brilliant. We need fifty more like it.,0,0.4584866004883175,0
You're pregnant? I thought you were motivated!,0,0.3343332778544922,1
Which one of you just said that?,0,0.34077165915570085,0
I'm not sexist. Women are to be treated as any other person on this planet.,0,0.4177454455943536,0
she should be practising on her cooking skills,0,0.2818151627705862,1
the only way these girls are keeping a job is if they blow every dude in the room.,1,0.628946808899118,1
Real ladies should respect traditional values. men should be men and women should be women,1,0.7494107484453305,1
"I'm not afraid to hit a girl. In fact, I plan on it.",1,0.6584706891558262,1
cough slut cough,1,0.7822982138133181,1
"Being surrounded by successful people, doesn't mean you made it.",0,0.30520505873415105,0
This outfit suits you well.,0,0.40303273949219903,0
"As we look ahead into the next century, leaders will be those who empower others",0,0.37581450370173464,0
"If you want things to change, you must change. If you want things to get better, you must get better.",0,0.3136191899444974,0
"We writers are a crazy group. I can't think of any other profession where the actual work is deep within, uncomfortable, and wanting out.",1,0.6790921617468516,0
You can thank the quotas,1,0.5572327044025158,1
"Wow, Madelyn is so graceful",1,0.7229049268559563,0
"Never ever work! Do everything for fun. Remember, life is for joy!",0,0.2940456347082198,0
What did she have to say about it?,1,0.595486560321917,0
The best boss is the one who bosses the least.,0,0.4403657506044484,0
"Like most people I can be lazy, so it's nice to have a goal or deadline or reason to work out. I feel better when I get to exercise, or when I'm outdoors. I like to hike, swim and run, and I love to play soccer.",1,0.5382898504985221,0
A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me,1,0.7855123683883182,0
"A positive attitude is something everyone can work on, and everyone can learn how to employ it.",0,0.29049559273001263,0
"My two most unproductive days of the week have always been yesterday and tomorrow. Keeping that in mind, I try to focus majority of my attention on today.",0,0.4969076276814251,0
There is no chance in hell I'm letting a girl beat me at anything. Sorry,1,0.6332710375947728,1
I don't think I wanna see a women president at this stage in my life,1,0.718814713718522,1
I'll explain to you with simple words so that you understand,0,0.34427890946575374,1
I'm not voting for no Lady..,1,0.7512419204025684,1
"The key to successful leadership today is influence, not authority.",0,0.17064536378189857,0
I really don't like female country singers,1,0.9154148039450541,1
What is one thing I care less about than soccer? Women's soccer.,1,0.711711526781504,1
"If it has to be done, you have to do it yourself.",0,0.18936795888397245,0
I don't care how hard you think you are if you cant act like a man no one will respect you,1,0.5580012772616149,1
Can you explain why that would be sexist?,1,0.5704458047330959,0
"You didn't hear it from me, but she has to be the biggest bitch around",1,0.8499366439929491,1
"The people at work are childish. it's run by women and when women dont agree to something, oh man.",0,0.4909413675168662,1
"Only then, approaching my fortieth birthday, I made philosophy my life's work.",0,0.19920221127298032,0
the statement 'all men drivers are better than woman' is correct in every way,1,0.7709375841055754,1
Her request is reasonable so I say yes,1,0.5233385865089237,0
Remind me why are women allowed opinions again?,1,0.8477365814294651,1
"Wow. This was generally clever, funny, and relatable piece of writing. Great work",1,0.5784012330460295,0
I cannot respect a females opinion nor entertain it when it has to do with that subject,1,0.532524322342142,1
"Act like a lady, think like a man.",1,0.8428875423382797,1
There are some things women do that men just won't.,0,0.4863956647451349,0
Women are reckless drivers.,1,0.8570004966463873,1
Are you having period ?,1,0.7078400951798294,1
"HUGE shoutout to all the ladies that proved they could do a mans job just as good as a man could, when everyone thought it was impossible",0,0.2665863046388354,0
Maybe so. But I'm still right.,1,0.5520338827668138,0
"Ladies, if you've slept around your price goes down. You know it's true.",1,0.7575584919378072,1
I haven't met a single female driver that's good at parking,1,0.7126089914829012,1
A man is not idle because he is absorbed in thought. There is visible labor and there is invisible labor.,0,0.40767510153160175,0
And that proves what?,1,0.5572327044025158,0
Yeah I can't see her sporting Victoria's Secret wings anytime soon.,1,0.712435227317768,1
"Let your passion serve as your energy source to keep you going. I can attest that you will be happier, healthier, and more successful at it.",0,0.12524411335616303,0
It has been my observation that most people get ahead during the time that others waste,0,0.18060512062790698,0
"Girls don't know shit about sports, and when it comes to football they repeat anything their dad says",1,0.7383193953728925,1
"Why do I have to do the sewing? Because I'm a girl? Is that it? It isn't fair, I tell you!",1,0.6203947082156687,0
I had the most boring office job in the world...I used to clean the windows on envelopes.,0,0.48084589941184264,0
Great question! I'll get back to you on that.,0,0.40416105148103293,0
girls just cant sing country as well as guys,1,0.8235710826946488,1
Hate girls who think they're really hot because they get with a different person every week,1,0.704324212766385,1
"If you believe that, you're either a woman or gay.",1,0.8191351993614615,1
I think women are jealous because they are inferior,1,0.7907151719126027,1
Everyone has the same opportunities,0,0.3423790508849831,0
I do hold the firm belief that women shouldn't be allowed to drive. No need to explain why,1,0.6099525839894617,1
Some foods are gender specific please. I don't want a woman mixing my shawarma.,1,0.5766004702103089,1
I can not stand female reporters in men's sports,1,0.9160230957719653,1
Ed Zimmerman made a pledge to not attend all-male tech events.,1,0.7324585517335379,0
Those who feel satisfied with their personal lives are more satisfied with their careers and perform better.,1,0.6152074940528148,0
"As far as I'm concerned, girls who argue are stupid.",1,0.9043112210025347,1
"If you enjoy being at work more than being at home it doesn't mean you are a workaholic, it simply means you are in love with your work and you worship it.",0,0.26123057000480937,0
Do what you want that works.,1,0.508310520820003,0
Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes.,1,0.9487045680078071,1
"It is easy to hurt people when we do not filter our thoughts, when we do not choose our words, when we do not control the tone of voice and the body language.",0,0.3958012744425534,0
She is one of those rare pieces of trash that get even uglier when she smiles,1,0.556729609803161,1
"A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance, love again.",1,0.7918342074946262,1
Women and men should always be well dressed.,0,0.4848541623861548,0
I'm not sexist so I will call you fat if I please.,1,0.746175235266344,1
I want a girl that's going to cook and clean! I'll take care of you and everything else.,1,0.6556957903694217,1
"Do only work that matters, and you will end up pleasing those who are important enough to care about it.",0,0.15951890839243468,0
"I am immersed in architecture all day, working in my office or teaching.",0,0.39674693078889817,0
Do you feel able to take on this task?,1,0.6913412990852821,1
Women are most respectable in our society and culture. I believe in giving them due respect no matter what the situation is.,1,0.5674782514265818,0
Sorry to sound crude for a moment but even Ramona's ass didn't make this meeting worth attending.,0,0.48752663929636536,1
You don't understand my intent,1,0.5133765004787019,0
all she needs now is a witch hat!,0,0.3875983745586998,1
Just dress sexy and you will sign any contract.,1,0.5572327044025158,1
if a dude cries because of a girl in a wedding dress then he has a vagina,1,0.8245095287290924,1
"If a man marries a good woman, he will have a happy life as long as he himself is not ambitious and is quiet and obedient.",0,0.28733597824155405,1
I need my female personal assistants to be sexy.,1,0.8519544156473026,1
Give women in their advanced years respect they rightly deserve,1,0.5158580469125139,0
She told me that the first key to leadership is self-control.,0,0.1942992294100231,0
Yes. Work is love made visible.,0,0.25787129144033194,0
she parties like a man but loves like a woman,1,0.8242691404373611,1
Aesthetic jobs are reserved for women,1,0.7028291159223118,1
"By focusing on her career and taking a calculated approach to amassing power, Heidi violated our stereotypical expectations of women.",0,0.26913302346755047,0
I don't think women should announce football games,1,0.8997385708598167,1
"Sometimes we just have to suck it up and do what we have to do, until we are able to do what we want to do.",1,0.6243569979093132,0
WHAT A DUMB BITCH,1,0.9065665947472835,1
There's an art in every labour.,0,0.4729854308032127,0
A sure way to start your own business is to stay out of everyone else's.,0,0.3592443865481186,0
Sassy? Girls you aren't sassy. More like bitchy.,1,0.8959338768428743,1
I have learned to have pride in what I do.,1,0.5572327044025158,0
It seems that she doesn't care about facts.,1,0.6760774873598635,0
"Women aren't created weaker than men. Without Women, everyone's nothing.",1,0.54735540250131,0
Begin the work!,0,0.20623508333738755,0
it's evident a woman can't do a man's job when it comes to tennis coaching,1,0.6909466872289212,1
I'm going to miss her resting bitch face.,1,0.8212583185800912,1
"This is not his job, I thought, it's his passion.",0,0.20378278600325633,0
A secretary must think like a man act like a lady look like a girl and work like a dog.,1,0.8633263901556716,1
I would never vote for a girl president,1,0.8047932737455439,1
Women are meant to be loved not to be understood,1,0.616862065030141,1
We all get bored of women. They stop making sense after sometime. Especially the talking part.,1,0.5352059589032941,1
We work in the best of our abilities.,0,0.18589680621535618,0
Why do female managers think they are god's greatest creation. They are way too power hungry,1,0.7678503846217205,1
Stop being bitchy,1,0.7412966272297223,1
Should a guy open the car door for a girl?,1,0.7018339431508782,0
If law school is so hard to get through  how come there are so many lawyers?,0,0.4297666746417234,0
"You are a human not a robot, take care !",0,0.44783225091477896,0
"Look like a girl, act like a lady, think like a man and work like a dog.",1,0.8722457746339746,1
I feel much safer if a male is driving instead of a female. Just being honest.,1,0.8965099784133217,1
Women and men have the same amount of working time,0,0.3692989684227669,0
"He said that when you want to change things, you can't please everyone. If you do please everyone, you aren't making enough progress. Mark was right.",0,0.29072623549244403,0
"Men are allowed to have passion and commitment for their work ... a woman is allowed that feeling for a man, but not her work.",0,0.4632980416152013,1
You seem angry. Are you hormonal?,1,0.587195121981425,1
Women are really bad drivers. sorry it's the truth,1,0.7994761493496771,1
"I always arrive late at the office, but I make up for it by leaving early.",0,0.44459594007388636,0
Work like you don't need the money. Dance like no one is watching. And love like you've never been hurt.,0,0.4544414076435388,0
I'm sorry but girls are just really unfunny,1,0.8346959923886226,1
Shallow men believe in luck. Strong men believe in cause and effect.,1,0.6904062612301743,0
Damn it. I have a girl in my recruit group again.,1,0.8475688026730651,1
"In every marriage more than a week old, there are grounds for divorce. The trick is to find and continue to find grounds for marriage.",0,0.40678367400594695,0
"It's less of a day without women and more of a day without feminists, which, to be quite honest, sounds lovely.",1,0.7004160324882986,1
I like work: it fascinates me. I can sit and look at it for hours.,1,0.7450296108499348,0
"A business is like an automobile. Its people its wheels, their passion its fuel.",0,0.21854101633478476,0
Call me old fashioned but I feel a WOMAN needs to know how to throw down in the kitchen. And a MAN provides.,1,0.7476866546222884,1
It is quality rather than quantity that matters.,0,0.3111150896201546,0
"I swear to fuckin god Tianna and Andre are the worst ever contestants, she is such a little bitch",1,0.80091730639125,1
"Work hard, put maximum effort, and have a good attitude. Most importantly never give up.",0,0.18391235600634329,0
I don't care but a Pakistani girl should know how to make Roti,1,0.6493798330260324,1
Women always get more upset than men,0,0.4977439735780313,1
I want to slap that stupid smirk off her face. What a horrible cow!,1,0.7827296287776552,1
I couldn't live with myself if I thought nothing could get better.,0,0.19830143985610857,0
"Wow, you're a huge asshole! @JonTaylorr I'm not sexist, but women's football should be in the Paralympics.",1,0.9173629022727523,1
"Almost purely because men can raise their voices, women just end up screaming.",0,0.4781556319162189,1
"Competition is not about fighting, it is all about helping each other to achieve a common goal.",0,0.3523175882943832,0
I want to be thoroughly used up when I die for the harder I work the more I live. I rejoice in life for its own sake.,0,0.10059301889285178,0
She doesn't have a dad in her life so she is a future stripper of America in the making,0,0.21909261864290513,1
Why do we stand aside when a vocal minority screams we have more rights than women?,1,0.7402654760510654,0
"Football is like life - it requires perseverance, self-denial, hard work, sacrifice, dedication and respect for authority.",0,0.3327931986349492,0
I've seen some really dumb girls which lend credibility to the argument.,1,0.9182788638492912,1
"A lot of females try to think like a man to avoid getting hurt instead of just being a woman. Take a chance, love again.",1,0.7918342074946262,1
My son can do whatever he wants but my daughter not so much,0,0.35224334438304467,1
"One of the really tough things is figuring out what questions to ask. Once you figure out the question, then the answer is relatively easy.",0,0.37720899234231386,0
What's the point in having a cleaning lady when I have a mom and a sister?,1,0.725862199784952,1
"For the present time, just do your job well",0,0.3154378137647421,0
That guy is never going to live down losing to that girl in the product pitch competition,1,0.553840089897947,1
you're the sort of bitch that really makes the show,1,0.7105970677244793,1
I want to work with kids. I would love to be a teacher.,0,0.24897473220950386,0
"To be great at anything that you do, you have to love it! but also give it your all..",0,0.2457360579392626,0
i hate serving women! They're so unbelievanly fussy about their drinks,1,0.7908758146503885,1
She thinks like a man but acts like a lady,1,0.8170290468542643,1
I've genuinely never actually met a funny girl,1,0.7961255627792272,1
